Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54,0
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58,0
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,682,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,219,0
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,379,0
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,381,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,310,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,120,0
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,566,0
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,892,0
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,0
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,131,0
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,142,0
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,0
