Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,208,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,241,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,133,0
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,0
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,0
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,0
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,168,0
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,305,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,0
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,0
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,168,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,241,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,156,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29,0
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50,0
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
