Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,75,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,0
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,0
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85,0
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,179,0
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,0
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48,0
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,292,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,298,0
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1521,0
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62,0
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4344,0
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52558,0
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58,0
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54,0
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101,0
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,0
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,0
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,0
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,0
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,0
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,0
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,82,0
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,0
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,0
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,0
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,0
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,72,0
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101,0
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,0
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,0
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,0
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,0
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116,0
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52,0
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95,0
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32,0
