Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,0
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77,0
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26,0
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,684,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,0
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,0
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,0
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,0
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
